Continent,Region,Country,Criminality,Criminal markets,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Criminal actors,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,Code Value
Asia,Central Asia and the Caucasus,Uzbekistan,4.96,4.55,7.5,6.0,3.0,3.0,3.5,6.5,6.5,1.5,4.0,4.0,5.38,5.0,4.5,7.0,5.0,3.79,3.0,3.0,4.0,4.0,3.0,3.5,4.5,3.5,4.5,4.0,5.0,3.5,UZB
Asia,South-Eastern Asia,Vietnam,6.28,6.05,6.5,7.0,4.0,6.5,8.5,6.0,7.0,4.0,4.5,6.5,6.5,6.0,7.0,7.0,6.0,4.67,5.0,4.5,5.5,5.5,4.0,4.5,5.0,5.5,5.0,5.0,4.5,2.0,VNM
Asia,South-Eastern Asia,Thailand,5.76,6.4,6.5,7.0,5.5,6.5,8.0,6.0,7.5,4.0,5.0,8.0,5.13,1.5,5.0,6.5,7.5,4.67,5.0,4.5,6.0,5.5,4.0,5.0,4.0,4.5,4.5,4.5,5.0,3.5,THA
Latin America and the Caribbean,Central America,Panama,6.68,6.35,8.0,5.5,6.5,6.0,8.0,6.0,5.0,8.5,5.0,5.0,7.0,7.5,7.0,7.5,6.0,4.83,4.5,4.0,6.0,6.0,3.0,4.5,6.0,4.5,6.0,4.0,4.0,5.5,PAN
Asia,Western Asia,United Arab Emirates,5.75,6.75,8.5,6.5,6.5,5.5,7.5,6.0,7.0,6.0,6.5,7.5,4.75,1.0,6.0,6.0,6.0,5.33,5.5,5.0,5.5,5.5,5.5,6.0,5.5,4.0,5.5,6.5,6.5,3.0,ARE
Latin America and the Caribbean,Central America,Nicaragua,6.06,5.5,6.0,5.5,6.0,6.0,6.0,6.0,2.5,7.5,6.0,3.5,6.63,5.0,6.5,9.0,6.0,2.46,2.0,1.0,2.5,3.5,2.5,3.0,2.5,3.0,2.0,2.0,3.5,2.0,NIC
Asia,Western Asia,Kuwait,5.14,6.15,8.0,6.5,6.5,5.5,6.0,6.0,5.0,4.5,6.5,7.0,4.13,1.0,6.0,6.0,3.5,5.54,5.0,4.5,6.0,5.5,5.5,6.0,5.5,5.5,6.5,5.5,5.5,5.5,KWT
Africa,Southern Africa,Lesotho,3.9,3.55,4.0,3.0,3.0,1.0,2.5,5.5,3.5,5.5,4.5,3.0,4.25,1.0,5.0,6.0,5.0,3.67,4.0,3.5,6.0,5.5,3.0,3.0,2.5,5.0,3.0,2.5,2.0,4.0,LSO
Africa,West Africa,Burkina Faso,5.49,5.35,6.0,4.0,8.0,4.0,6.0,8.5,4.0,4.0,3.0,6.0,5.63,3.5,6.5,6.5,6.0,3.63,3.5,4.0,5.5,5.0,4.0,3.0,3.0,3.0,3.0,2.5,2.0,5.0,BFA
Latin America and the Caribbean,Caribbean,Haiti,5.73,5.45,6.5,6.5,5.5,6.5,4.0,6.0,2.0,8.0,6.0,3.5,6.0,8.0,6.0,7.0,3.0,2.67,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.5,3.0,4.5,HTI
Asia,Central Asia and the Caucasus,Azerbaijan,5.08,4.15,4.5,3.0,3.0,3.5,3.5,6.0,6.0,3.0,5.0,4.0,6.0,5.5,5.5,7.5,5.5,4.08,3.5,3.5,5.5,4.0,2.5,4.0,5.0,4.5,4.0,4.0,5.0,3.5,AZE
Asia,South-Eastern Asia,Malaysia,5.94,6.25,6.5,7.0,5.5,6.0,8.0,5.5,6.5,5.0,5.0,7.5,5.63,4.5,5.5,6.0,6.5,5.83,4.5,5.5,7.0,7.0,5.0,5.5,5.5,5.5,7.0,6.0,6.0,5.5,MYS
Africa,West Africa,Benin,5.25,5.25,6.0,4.0,5.5,6.0,5.5,5.0,4.5,6.0,4.0,6.0,5.25,1.0,6.0,6.0,8.0,3.54,4.0,4.5,4.0,3.0,3.0,4.0,3.5,3.0,4.0,3.0,2.0,4.5,BEN
Oceania,Melanesia,Papua New Guinea,5.44,5.0,7.0,4.0,5.5,8.0,5.0,5.5,1.0,4.0,5.5,4.5,5.88,1.0,8.0,8.0,6.5,3.42,3.0,2.0,4.5,5.0,4.5,3.0,3.0,4.5,3.0,3.0,2.5,3.0,PNG
Asia,Western Asia,Oman,4.14,4.9,6.0,4.0,5.0,5.0,5.0,5.5,5.0,3.0,4.5,6.0,3.38,1.0,5.0,4.0,3.5,5.25,4.5,4.5,6.5,6.5,5.5,7.5,5.5,5.0,4.5,4.0,4.0,5.0,OMN
Asia,Southern Asia,Pakistan,6.28,6.3,8.0,7.0,8.0,4.5,5.0,5.5,8.5,3.0,7.0,6.5,6.25,6.0,7.5,7.0,4.5,4.0,3.5,3.5,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.5,4.0,4.5,PAK
Africa,West Africa,Sierra Leone,5.4,5.05,5.0,4.0,3.5,6.5,6.5,6.5,2.0,4.5,7.0,5.0,5.75,3.5,5.5,7.0,7.0,3.46,3.5,3.5,4.0,2.5,2.0,4.0,4.0,3.5,3.0,2.5,4.0,5.0,SLE
Europe,Western Europe,France,5.66,5.7,6.0,6.5,6.0,4.0,5.5,4.5,6.0,6.5,6.5,5.5,5.63,6.0,6.5,3.0,7.0,6.83,6.0,7.0,8.5,7.5,6.5,7.0,5.0,8.0,8.0,5.0,6.5,7.0,FRA
Europe,Western Europe,Netherlands,4.69,5.0,5.5,4.5,5.0,3.0,4.0,4.0,4.0,7.0,5.5,7.5,4.38,4.5,6.0,2.5,4.5,7.42,7.5,8.0,8.0,7.5,7.5,7.5,6.0,6.5,6.5,8.0,8.0,8.0,NLD
Asia,Central Asia and the Caucasus,Kyrgyzstan,5.33,4.4,6.5,4.5,3.0,2.0,3.5,5.5,7.0,2.0,5.5,4.5,6.25,5.5,6.5,8.5,4.5,4.17,3.5,3.0,4.5,5.0,3.0,3.5,4.5,3.0,5.0,4.5,5.0,5.5,KGZ
Europe,Western Europe,Andorra,2.96,2.55,2.5,3.0,3.0,1.0,1.0,3.5,2.0,3.5,4.5,1.5,3.38,1.0,4.0,1.5,7.0,7.75,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.5,8.0,8.5,AND
Africa,Southern Africa,Madagascar,5.59,5.3,6.0,3.0,4.5,7.5,7.0,7.5,7.0,2.5,6.0,2.0,5.88,4.0,5.0,7.5,7.0,3.38,4.0,2.0,3.0,4.0,3.0,3.5,5.0,5.0,2.0,2.0,4.0,3.0,MDG
Asia,Western Asia,Israel,4.41,4.2,5.5,2.5,5.5,1.5,2.0,5.5,3.0,4.5,6.5,5.5,4.63,5.5,4.0,5.0,4.0,6.0,6.0,5.0,6.0,7.0,5.0,5.5,3.5,7.0,7.0,6.0,6.0,8.0,ISR
Europe,Western Europe,Belgium,4.34,5.05,5.0,5.5,5.5,2.5,3.5,3.0,4.0,7.5,6.5,7.5,3.63,3.0,4.5,2.0,5.0,7.0,7.0,7.0,8.0,7.0,6.0,7.0,6.0,7.0,7.0,7.5,6.5,8.0,BEL
Asia,Western Asia,Qatar,5.21,5.8,8.0,6.0,6.5,5.0,6.5,5.0,4.5,4.0,6.0,6.5,4.63,1.0,6.0,6.0,5.5,5.58,5.0,5.5,5.5,5.0,5.0,5.5,7.0,6.0,6.0,6.0,6.0,4.5,QAT
Latin America and the Caribbean,Central America,Honduras,6.98,5.7,6.5,6.5,6.0,7.0,6.0,5.0,2.0,7.5,7.5,3.0,8.25,8.5,8.0,8.5,8.0,3.92,2.5,3.5,5.5,4.0,3.0,4.5,4.5,4.0,3.5,3.0,4.5,4.5,HND
